Age,Education_Level,Degree_Field,GPA,Technical_Skills,Soft_Skills,Personality_Traits,Learning_Style,Work_Style_Preference,Past_Projects,Internships_Completed,Extracurriculars,Career_Outcome
23,Bachelor's,Computer Science,3.8,Python;Java;SQL;AWS,Communication;Teamwork;Problem-Solving,Analytical,Kinesthetic,Collaborative,"Developed a recommendation system for an e-commerce platform; Built a personal portfolio website",2,"Coding Club;Volunteer Tutor",Data Scientist at Google
25,Master's,Data Science,3.9,Python;R;Machine Learning;TensorFlow,Critical Thinking;Presentation Skills;Leadership,Conscientious,Visual,Independent,"Created a predictive model for stock prices; Conducted a sentiment analysis of social media data",1,"Data Science Club;Research Assistant",Machine Learning Engineer at Microsoft
22,Bachelor's,Business Administration,3.5,Excel;SQL;Tableau,Negotiation;Project Management;Time Management,Extroverted,Auditory,Collaborative,"Analyzed market trends for a startup; Developed a business plan for a new product",1,"Debate Team;Student Government",Marketing Analyst at Amazon
26,PhD,Physics,3.7,Python;C++;MATLAB,Research;Public Speaking;Mentorship,Analytical,Visual,Independent,"Simulated quantum mechanics phenomena; Published a research paper on fluid dynamics",0,"Physics Society;Academic Journal Editor",Research Scientist at IBM
24,Bachelor's,Psychology,3.2,SPSS;R,Empathy;Active Listening;Conflict Resolution,Empathetic,Kinesthetic,Hybrid,"Conducted a study on consumer behavior; Assisted in a clinical research trial",1,"Psychology Club;Volunteer Counselor",HR Specialist at a Tech Startup
23,Bachelor's,Computer Science,3.6,JavaScript;React;Node.js,Communication;Adaptability;Creativity,Creative,Kinesthetic,Collaborative,"Built a full-stack web application for task management; Contributed to an open-source project",1,"Web Development Club;Hackathon Participant",Software Engineer at a Startup
25,Master's,Mechanical Engineering,3.8,SolidWorks;AutoCAD;Python,Problem-Solving;Attention to Detail;Teamwork,Detail-Oriented,Visual,Hybrid,"Designed a new cooling system for a data center; Optimized a robotic arm's movement",2,"Robotics Club;Formula SAE",Mechanical Engineer at Lockheed Martin
22,Bachelor's,Marketing,3.4,Google Analytics;SEM;SEO,Creativity;Strategic Thinking;Interpersonal Skills,Extroverted,Auditory,Hybrid,"Managed social media campaigns for a local business; Created content for a marketing blog",1,"Marketing Association;Photography Club",Digital Marketing Specialist at a Creative Agency
28,Master's,Electrical Engineering,3.9,C++;VHDL;Embedded Systems,Systems Thinking;Innovation;Persistence,Innovative,Visual,Independent,"Developed firmware for an IoT device; Designed a power circuit for a small-scale robot",2,"IEEE Student Chapter;Robotics Team Captain",Hardware Engineer at NVIDIA
24,Bachelor's,Finance,3.7,Bloomberg Terminal;Financial Modeling;Python,Financial Analysis;Risk Management;Decision Making,Conscientious,Kinesthetic,Collaborative,"Built a financial model to forecast company revenue; Conducted valuation analysis on a public company",1,"Investment Club;Toastmasters",Financial Analyst at JPMorgan Chase
